Animal,runno,Day,Acq Number,genotype,sex,age,age_group,Pool time,Pool Distance,NW Time,NW Distance,NE Time,NE Distance,SE Time,SE Distance,SW Time,SW Distance,NormSWTime,NormSWDist,Average Pool Speed,Average SW Speed
161107_1,N54716/N54915,Day1,1,4,F,383,old,46.6,44.442,17,13.175,0,0,6.6,6.883,22.9,24.384,0.491416309,0.548670177,0.953690987,1.064803493
161107_2,N54714/N54916,Day1,1,4,F,383,old,16.1,12.126,0,0,0,0,0,0,16.1,12.126,1,1,0.753167702,0.753167702
161107_3,N54717,Day1,1,4,F,383,old,17.9,18.714,6.3,6.915,0,0,2.3,3.343,9.2,8.456,0.51396648,0.451854227,1.04547486,0.919130435
161107_4,N54715/N54917,Day1,1,4,M,379,old,60,92.751,25.8,32.25,12.9,25.597,9.6,16.092,11.8,18.812,0.196666667,0.202822611,1.54585,1.594237288
161107_5,N54718//N54721,Day1,1,4,M,379,old,46.6,96.192,14.3,27.235,7.1,18.78,7.9,20.943,17.4,29.235,0.373390558,0.303923403,2.064206009,1.680172414
161107_6,N54719,Day1,1,4,M,379,old,60,94.652,19.9,30.939,17.2,29.005,9.9,15.666,13,19.042,0.216666667,0.201179056,1.577533333,1.464769231
161107_7,N54720,Day1,1,4,M,379,old,6.9,6.03,1.9,2.163,0,0,0,0,5.1,3.867,0.739130435,0.641293532,0.873913044,0.758235294
161107_8,N54722,Day1,1,4,M,379,old,60,131.162,16,33.594,16.4,35.199,13.8,33.266,13.8,29.103,0.23,0.221885912,2.186033333,2.108913044
170123_1,N54760/N54754/N54755,Day1,1,0,F,400,old,60,120.281,10.9,20.418,14.6,30.972,19.7,41.001,14.8,27.891,0.246666667,0.23188201,2.004683333,1.884527027
170123_2,N54757/N54759,Day1,1,0,F,400,old,60,105.861,15.9,22.155,18,33.135,21.8,41.132,4.3,9.439,0.071666667,0.089164093,1.76435,2.195116279
170123_3,N54765,Day1,1,0,F,400,old,60,89.474,25.3,28.317,12,18.19,20,36.937,2.7,6.03,0.045,0.06739388,1.491233333,2.233333333
170123_4,N54766,Day1,1,4,M,396,old,34.6,34.282,27.6,29.53,1.5,0.918,0,0,5.5,3.835,0.158959538,0.111866286,0.990809249,0.697272727
170123_5,N54770,Day1,1,4,M,396,old,60,57.551,51.4,48.834,4.6,4.326,0,0,4,4.392,0.066666667,0.076314921,0.959183333,1.098
170123_6,N54761,Day1,1,4,F,396,old,60,54.471,48.6,38.969,7.3,9.177,4.2,6.325,0,0,0,0,0.90785,
170123_7,N54762,Day1,1,4,F,396,old,60,83.279,33.6,43.196,14.4,21.795,6.5,8.456,5.5,9.832,0.091666667,0.118060976,1.387983333,1.787636364
170123_8,N54763,Day1,1,4,F,396,old,60,85.934,34.5,44.835,11,15.568,4.8,8.62,9.7,16.911,0.161666667,0.19679056,1.432233333,1.743402062
170123_9,N54764,Day1,1,4,F,396,old,30.7,41.361,12.8,14.552,3.5,6.096,6.9,11.799,7.6,8.915,0.247557003,0.21554121,1.347263844,1.173026316
170123_10,N54771,Day1,1,3,F,388,old,27.1,43.524,17,30.677,4.4,9.242,0,0,5.7,3.605,0.210332103,0.082827865,1.606051661,0.63245614
170123_11,N54772,Day1,1,3,F,388,old,60,94.127,27.4,38.379,11.4,16.322,8.6,14.781,12.5,24.646,0.208333333,0.26183773,1.568783333,1.97168
170123_12,,Day1,1,3,F,388,old,60,116.053,20.5,36.74,14.4,28.972,11.2,22.09,13.9,28.251,0.231666667,0.24343188,1.934216667,2.032446043
170206_1,N54798,Day1,1,3,F,394,old,60,52.668,37,21.369,23,31.299,0,0,0,0,0,0,0.8778,
170206_2,N54805/N54800,Day1,1,3,F,394,old,60,78.429,31,37.002,12.1,15.601,7.8,10.488,9.1,15.338,0.151666667,0.195565416,1.30715,1.685494506
170206_3,N54801,Day1,1,3,M,393,old,60,88.294,20,32.873,0,0,10.6,14.847,29.4,40.574,0.49,0.459532924,1.471566667,1.380068027
170206_4,N54802,Day1,1,3,M,393,old,26,27.891,20,21.434,0,0,0.8,1.639,5.2,4.818,0.2,0.172743896,1.072730769,0.926538462
170206_5,N54803,Day1,1,3,M,393,old,60,89.047,31.3,42.934,13.1,24.974,6.2,9.505,9.4,11.635,0.156666667,0.130661336,1.484116667,1.237765957
170206_6,N54804,Day1,1,3,M,383,old,60,117.233,25.9,47.818,26,49.817,4.6,11.012,3.5,8.587,0.058333333,0.073247294,1.953883333,2.453428571
170206_7,N54806,Day1,1,3,M,383,old,60,112.35,15.8,27.956,17.4,33.659,17.7,32.905,9.1,17.829,0.151666667,0.158691589,1.8725,1.959230769
170206_8,N54807,Day1,1,3,M,383,old,9.4,1.475,0,0,0,0,0,0,9.4,1.475,1,1,0.156914894,0.156914894
170206_9,N54818,Day1,1,0,M,367,old,60,99.044,34.7,50.8,5.1,10.226,5.7,12.651,14.4,25.367,0.24,0.256118493,1.650733333,1.761597222
170206_10,N54824,Day1,1,0,M,367,old,60,116.774,23.7,43.786,9.5,22.418,10.8,20.648,15.9,29.923,0.265,0.25624711,1.946233333,1.881949686
170206_11,N54825,Day1,1,0,M,367,old,60,100.027,15.6,17.043,19.5,36.674,17.1,31.267,7.8,15.043,0.13,0.150389395,1.667116667,1.928589744
170206_12,N54826,Day1,1,0,M,367,old,60,111.367,14.9,27.301,20.7,36.248,14.9,27.465,9.4,20.353,0.156666667,0.182756113,1.856116667,2.165212766
170227_1,N54859,Day1,1,0,F,120,young,60,84.885,23.6,32.938,8.1,15.24,17,18.943,11.3,17.764,0.188333333,0.209271367,1.41475,1.572035398
170227_2,N54860,Day1,1,0,F,120,young,60,98.552,13.1,24.351,28.3,46.572,8.2,15.174,10.4,12.454,0.173333333,0.126369835,1.642533333,1.1975
170227_3,N54861,Day1,1,0,F,120,young,60,103.304,27.4,39.657,9.6,22.254,13.4,21.303,9.5,20.091,0.158333333,0.194484241,1.721733333,2.114842105
170227_4,N54873,Day1,1,0,F,120,young,60,119.233,23.1,43.622,5.5,10.094,15.3,32.25,16.1,33.266,0.268333333,0.278999941,1.987216667,2.06621118
170227_5,N54874,Day1,1,0,F,120,young,60,83.574,23.7,35.757,4,10.75,11.3,13.569,20.9,23.499,0.348333333,0.281175964,1.3929,1.124354067
170227_6,N54875,Day1,1,0,M,120,young,60,115.005,27.1,50.472,2.6,6.162,3.3,7.767,27.1,50.603,0.451666667,0.440006956,1.91675,1.867269373
170227_7,N54876,Day1,1,0,M,120,young,37,65.155,5.5,14.421,11.7,19.173,4.7,10.258,15.1,21.303,0.408108108,0.326958791,1.760945946,1.410794702
170227_8,N54877,Day1,1,0,M,120,young,60,126.574,20.9,48.178,14.8,24.122,10.9,26.383,13.4,27.891,0.223333333,0.220353311,2.109566667,2.08141791
170227_9,N54879,Day1,1,0,M,120,young,60,76.987,20,23.663,33.6,40.804,2,4.719,4.3,7.8,0.071666667,0.101315807,1.283116667,1.813953488
170227_10,N54880,Day1,1,0,M,120,young,60,102.255,10.8,13.077,21.5,37.461,21.2,36.871,6.5,14.847,0.108333333,0.145195834,1.70425,2.284153846
170313_1,N54837,Day1,1,0,F,380,old,60,89.08,24.5,33.856,23.5,29.005,4.5,9.373,7.6,16.846,0.126666667,0.189110912,1.484666667,2.216578947
170313_2,N54838,Day1,1,0,F,380,old,60,85.868,22.5,28.776,13.4,20.877,14.3,21.369,9.8,14.847,0.163333333,0.172904924,1.431133333,1.515
170313_3,N54843,Day1,1,0,M,380,old,60,62.5,27.2,20.091,5.6,5.998,18.6,19.304,8.7,17.108,0.145,0.273728,1.041666667,1.966436782
170313_4,N54844,Day1,1,0,M,380,old,60,99.634,18.8,28.94,15.2,27.137,14,24.712,12.1,18.845,0.201666667,0.189142261,1.660566667,1.557438017
170313_5,N54856,Day1,1,0,M,380,old,60,88.228,16.3,20.517,12.6,20.254,11.9,20.812,19.2,26.645,0.32,0.302001632,1.470466667,1.387760417
170313_6,N54857,Day1,1,0,M,380,old,46.7,70.759,5.5,9.537,20.5,34.118,6.4,13.241,14.3,13.863,0.30620985,0.19591854,1.515182013,0.969440559
170313_7,N54858,Day1,1,0,M,380,old,60,105.402,23.7,40.083,9.9,17.501,13.7,24.941,12.7,22.876,0.211666667,0.21703573,1.7567,1.801259843
170501_3,N54891/N54900LRspecific,Day1,1,0,M,381,old,27.1,37.854,10,12.389,7.9,13.044,3.9,8.161,5.4,4.261,0.199261993,0.112564062,1.396826568,0.789074074
170501_4,N54892,Day1,1,0,F,381,old,60,103.14,22.9,35.789,11,17.829,7.5,14.683,18.6,34.839,0.31,0.337783595,1.719,1.873064516
170501_5,N54893,Day1,1,0,M,381,old,60,128.18,19.3,38.379,18.1,37.068,12.3,26.154,10.3,26.58,0.171666667,0.207364644,2.136333333,2.580582524
170501_6,N54897,Day1,1,0,M,381,old,60,99.306,20.4,33.987,11.4,24.908,13.8,16.354,14.4,24.056,0.24,0.242241154,1.6551,1.670555556
170501_7,N54898,Day1,1,0,F,381,old,60,103.37,18.3,29.235,21.2,34.773,13.7,27.629,6.8,11.733,0.113333333,0.113504885,1.722833333,1.725441177
170501_8,N54899,Day1,1,0,F,381,old,60,114.12,13.5,26.94,17.9,31.693,17,30.906,11.6,24.581,0.193333333,0.215396074,1.902,2.119051724
161107_1,N54716/N54915,Day1,2,4,F,383,old,60,85.016,11.5,20.418,9.5,14.29,17.4,25.334,21.6,24.974,0.36,0.293756469,1.416933333,1.156203704
161107_2,N54714/N54916,Day1,2,4,F,383,old,19.9,12.979,0,0,0,0,3.4,4.228,16.5,8.751,0.829145729,0.674243008,0.652211055,0.530363636
161107_3,N54717,Day1,2,4,F,383,old,60,99.994,12.5,19.992,5,9.505,11.2,18.157,31.3,52.34,0.521666667,0.523431406,1.666566667,1.672204473
161107_4,N54715/N54917,Day1,2,4,M,379,old,20.5,16.19,2.2,5.408,0.8,1.606,0.3,0.95,17.1,8.226,0.834146342,0.508091415,0.789756098,0.481052632
161107_5,N54718//N54721,Day1,2,4,M,379,old,30.1,48.276,3.4,7.505,4,8.718,7.7,14.421,15,17.633,0.49833887,0.365253956,1.603853821,1.175533333
161107_6,N54719,Day1,2,4,M,379,old,60,95.209,14.5,22.09,18.6,28.677,12.6,20.418,14.2,24.023,0.236666667,0.252318583,1.586816667,1.691760563
161107_7,N54720,Day1,2,4,M,379,old,44.4,65.155,3.2,4.851,13.8,18.255,15.7,26.875,11.6,15.174,0.261261261,0.232890799,1.467454955,1.308103448
161107_8,N54722,Day1,2,4,M,379,old,4.5,3.212,0,0,0,0,0,0,4.5,3.212,1,1,0.713777778,0.713777778
170123_1,N54760/N54754/N54755,Day1,2,0,F,400,old,60,101.174,12,20.844,10.6,21.828,5.1,10.619,32.4,47.883,0.54,0.473273766,1.686233333,1.47787037
170123_2,N54757/N54759,Day1,2,0,F,400,old,31.1,42.803,7.3,9.177,3.7,7.735,6,11.602,14,14.29,0.450160772,0.333855104,1.376302251,1.020714286
170123_3,N54765,Day1,2,0,F,400,old,60,107.729,22.5,36.052,17.9,31.463,10.4,22.123,9.2,18.091,0.153333333,0.167930641,1.795483333,1.966413044
170123_4,N54766,Day1,2,4,M,396,old,57.7,59.485,0,0,0,0,30.4,39.263,27.3,20.222,0.473136915,0.339951248,1.030935875,0.740732601
170123_5,N54770,Day1,2,4,M,396,old,23.2,8.915,0,0,0,0,0,0,23.2,8.915,1,1,0.384267241,0.384267241
170123_6,N54761,Day1,2,4,F,396,old,60,36.347,14.1,12.192,0,0,0,0,45.9,24.155,0.765,0.664566539,0.605783333,0.526252723
170123_7,N54762,Day1,2,4,F,396,old,33.4,34.577,10.7,14.093,2.3,2.655,2.1,3.441,18.3,14.388,0.547904192,0.416114758,1.035239521,0.786229508
170123_8,N54763,Day1,2,4,F,396,old,38.1,36.379,0,0,0,0,0.1,0,37.9,36.379,0.994750656,1,0.954829396,0.959868074
170123_9,N54764,Day1,2,4,F,396,old,8.2,5.637,0,0,0,0,0,0,8.2,5.637,1,1,0.687439024,0.687439024
170123_10,N54771,Day1,2,3,F,388,old,18.7,29.235,5.4,8.718,2.7,5.932,1.2,2.655,9.5,11.93,0.50802139,0.408072516,1.563368984,1.255789474
170123_11,N54772,Day1,2,3,F,388,old,8.2,4.588,0,0,0,0,0,0,8.2,4.588,1,1,0.559512195,0.559512195
170123_12,,Day1,2,3,F,388,old,60,95.832,19.4,30.709,2.8,5.473,9.5,17.6,28.3,42.049,0.471666667,0.438778279,1.5972,1.485830389
170206_1,N54798,Day1,2,3,F,394,old,60,54.077,18,18.714,4.9,5.768,0,0,37.1,29.595,0.618333333,0.547275182,0.901283333,0.797708895
170206_2,N54805/N54800,Day1,2,3,F,394,old,60,77.183,14.7,19.894,9.7,13.601,17.6,20.91,18,22.778,0.3,0.2951168,1.286383333,1.265444444
170206_3,N54801,Day1,2,3,M,393,old,60,93.505,15.2,21.828,19.1,31.594,8.9,16.551,16.8,23.532,0.28,0.251665686,1.558416667,1.400714286
170206_4,N54802,Day1,2,3,M,393,old,60,82.427,17.2,23.302,0,0,7.2,13.601,35.6,45.523,0.593333333,0.552282626,1.373783333,1.278735955
170206_5,N54803,Day1,2,3,M,393,old,4.3,2.327,0,0,0,0,0,0,4.3,2.327,1,1,0.541162791,0.541162791
170206_6,N54804,Day1,2,3,M,383,old,60,87.245,13.7,22.876,14.5,23.597,10.2,17.862,21.5,22.909,0.358333333,0.262582383,1.454083333,1.065534884
170206_7,N54806,Day1,2,3,M,383,old,60,95.602,24,40.542,11,18.681,8.2,14.355,16.9,22.024,0.281666667,0.23037175,1.593366667,1.303195266
170206_8,N54807,Day1,2,3,M,383,old,51.1,,0,0,0,0,0,0,51.1,0,1,,,0
170206_9,N54818,Day1,2,0,M,367,old,14.1,12.716,0,0,0,0,0,0,14.1,12.716,1,1,0.901843972,0.901843972
170206_10,N54824,Day1,2,0,M,367,old,60,100.256,4.9,9.144,4,8.98,12.5,23.925,38.6,58.207,0.643333333,0.580583706,1.670933333,1.507953368
170206_11,N54825,Day1,2,0,M,367,old,60,109.531,23.3,41.656,13.6,25.531,10.5,19.468,12.6,22.876,0.21,0.208854114,1.825516667,1.815555556
170206_12,N54826,Day1,2,0,M,367,old,60,99.732,22.4,41.787,18.2,24.253,4.2,8.456,15.2,25.236,0.253333333,0.253038142,1.6622,1.660263158
170227_1,N54859,Day1,2,0,F,120,young,3.2,0.262,0,0,0,0,0,0,3.2,0.262,1,1,0.081875,0.081875
170227_2,N54860,Day1,2,0,F,120,young,60,100.355,23.9,39.329,22.6,39.493,7.3,10.75,6.2,10.783,0.103333333,0.107448558,1.672583333,1.739193548
170227_3,N54861,Day1,2,0,F,120,young,34.8,66.794,8,18.845,6.3,13.208,2.6,7.014,17.9,27.727,0.514367816,0.415112136,1.919367816,1.548994413
170227_4,N54873,Day1,2,0,F,120,young,24.2,35.855,3.2,7.309,2.7,5.899,0,0,18.4,22.647,0.760330579,0.631627388,1.48161157,1.230815217
170227_5,N54874,Day1,2,0,F,120,young,6.6,5.178,0,0,0,0,0,0,6.6,5.178,1,1,0.784545455,0.784545455
170227_6,N54875,Day1,2,0,M,120,young,5.3,3.409,0,0,0,0,0,0,5.3,3.409,1,1,0.643207547,0.643207547
170227_7,N54876,Day1,2,0,M,120,young,6.6,3.179,0,0,0,0,0,0,6.6,3.179,1,1,0.481666667,0.481666667
