genotype,cage,no per cage,coltonid,sex,dob,series,civmmid,MWM,age at MWM,avarage age at MWM,NOR,Numer of NOR,,pump surgery,b7T age,Days of treatment,Date of image,Image animals,Date of Perfusion,,MRI 9T scan,DTIrunno,T1RARErunno,MGErunno,T1maprunno_VTR,regid,studyid,8 e4_mwm only,3 females,5 males,archivedDWI,rollneeded,tensorQA,,SNR_DWI_B0,SNR_DWI_B15
APOE3,973187,3,653,f,1/1/2016,1,170123-10:0,1/23/2017,388,,1/30/2017,12,,2/21/2017,417,6,2/27/2017,,2/28/2017,,4/7/2017,N54771,5250,5251,,20160211.Gb1,20170223,,,,1,0,"0, no B0 is good",,,
APOE3,,,659,f,1/1/2016,1,170123-11:0,1/23/2017,388,,1/30/2017,,,2/21/2017,417,6,2/27/2017,,2/28/2017,,4/8/2017,N54772,5255,5256,,20160211.Gb1,20170223,,,,1,,"0, only 1st B0 is good",,80.54887218,18.98333333
APOE3,,,661,f,1/1/2016,1,170123-12:0,1/23/2017,388,,1/30/2017,,,/,/,/,/,,/,,      /,,5260,5261,,,,,,,,,1,,,
APOE3,879152,2,13688,f,1/9/2016,2,170206-1:0,2/6/2017,394,,2/13/2017,12,,3/3/2017,419,6,3/9/2017,,3/10/2017,,4/21/2017,N54798,5310,5311,,20160211.Gb1,20170223,,,,1,,"0, only 1st B0 is good",,,
APOE3,,,13689,f,1/9/2016,2,170206-2:0,2/6/2017,394,,2/13/2017,,,3/3/2017,419,6,3/9/2017,,3/10/2017,,4/24/2017,N54805/N54800,5315,5316,,20160211.Gb1,20170223,,,,1,,N54718 is good; N54721-B0 degrades,,14.59310345,
APOE3,778594,3,13690,m,1/10/2016,2,170206-3:0,2/6/2017,393,,2/13/2017,,,3/3/2017,418,6,3/9/2017,,3/10/2017,,4/25/2017,N54801,5320,5321,,20160211.Gb1,20170223,,,,1,,1,,13.67484663,
APOE3,,,13691,m,1/10/2016,2,170206-4:0,2/6/2017,393,,2/13/2017,,,3/3/2017,418,6,3/9/2017,,3/10/2017,,4/26/2017,N54802,5325,5326,,20160211.Gb1,20170223,,,,1,,1,,,
APOE3,,,13692,m,1/10/2016,2,170206-5:0,2/6/2017,393,,2/13/2017,,,3/3/2017,418,7,3/9/2017,,3/10/2017,,4/27/2017,N54803,5330,5331,,20160211.Gb1,20170223,VTR failed,,,1,,1,,1,
APOE3,985400,3,13697,m,1/20/2016,2,170206-6:0,2/6/2017,383,,2/13/2017,,,3/10/2017,415,6,3/16/2017,,3/17/2017,,4/28/2017,N54804,5335,5336,,20160211.Gw1,20170316,,,,1,,1,,,
APOE3,,,13885,m,1/20/2016,2,170206-7:0,2/6/2017,383,,2/13/2017,,,3/10/2017,415,6,3/16/2017,,3/17/2017,,5/1/2017,N54806,5340,5341,,20160211.Gw1,20170316,,,,1,,1,,,
APOE3,,,13699,m,1/20/2016,2,170206-8:0,2/6/2017,383,,2/13/2017,,,3/10/2017,415,6,3/16/2017,,3/17/2017,,5/2/2017,N54807,5345,5346,,20160211.Gw1,20170316, ,,,1,,,,,
APOE4,,,,f,10/21/2015,0,161107-1,11/7/2016,383,,11/14/2016,,,12/17/2016,423,6,12/22/2016,,12/23/2016,,1/24/2017,N54716/N54915,5210,5211,B05212,161223_1_0.Fa1,20161222,6 e4 _nor_mwm,4 females,2 males,1,,1,,,
APOE4,,,,f,10/21/2015,0,161107-2,11/7/2016,383,,11/14/2016,,,12/17/2016,423,6,12/22/2016,,12/23/2016,,,N54714/N54916,5215,5216,,161223_1_0.Fa1,20161222,,,,1,,1,,,
APOE4,,,,f,10/21/2015,0,161107-3,11/7/2016,383,,11/14/2016,,,12/17/2016,423,6,12/22/2016,,12/23/2016,,,N54717,5220,5221,,161223_1_0.Fa1,20161222,apoe3,5 females,6 males,1,,1,large CSF,,
APOE4,,,,m,10/25/2015,0,161107-4,11/7/2016,379,,11/14/2016,,,12/17/2016,419,6,12/22/2016,,12/23/2016,,,N54715/N54917,5225,5226,,161223_1_0.Fa1,20161222,apoe4,7 females,7 males,1,,1,,,
APOE4,,,,m,10/25/2015,0,161107-5,11/7/2016,379,,11/14/2016,,,12/17/2016,419,7,12/23/2016,,12/23/2016,,,N54718//N54721,5230,5231,,161223_1_0.Fa1,20161222,c57,8 females,12 males,1,,1,,,
APOE4,,,,m,10/25/2015,0,161107-6,11/7/2016,379,,11/14/2016,,,12/17/2016,419,7,12/23/2016,,12/23/2016,,,N54719,5235,5236,,161223_1_0.Fa1,20161222,total,,45,1,,1,,,
APOE4,,,,m,10/25/2015,0,161107-7,11/7/2016,379,,11/14/2016,,,12/17/2016,419,7,12/23/2016,,12/23/2016,,,N54720,5240,5241,,161223_1_0.Fa1,20161222,series 0 no NOR,,,1,,1,,,
APOE4,,,,m,10/25/2015,0,161107-8:0 ,11/7/2016,379,380.5,11/14/2016,,,12/17/2016,419,7,12/23/2016,,12/23/2016,,,N54722,5245,5246,DOESN’T EXIST,,,,,,1,,1,,,
APOE4,992589,,13661,f,12/24/2015,1,170123-6:0,1/23/2017,396,,1/30/2017,,,2/17/2017,421,6,2/23/2017,,2/24/2017,,3/27/2017,N54761,5265,5266,,20160211.Gb1,20170223,,,,1,,1,,,
APOE4,,,13662,f,12/24/2015,1,170123-7:0,1/23/2017,396,,1/30/2017,,,2/17/2017,421,6,2/23/2017,,2/24/2017,,3/28/2017,N54762,5270,5271,,20160211.Gb1,20170223,,,,1,,"1, some ghosting",,,
APOE4,,,13663,f,12/24/2015,1,170123-8:0,1/23/2017,396,,1/30/2017,,,2/17/2017,421,6,2/23/2017,,2/24/2017,,3/29/2017,N54763,5275,5276,,20160211.Gb1,20170223,,,,1,,"1, 1",,,
APOE4,,,13664,f,12/24/2015,1,170123-9:0,1/23/2017,396,,1/30/2017,,,2/17/2017,421,6,2/23/2017,,2/24/2017,,3/30/2017,N54764,5280,5281,,20160211.Gb1,20170223,VTR failed,,,1,,"1, dent in Ent",,,
APOE4,988701,2,13665,m,12/24/2015,1,170123-4:0,1/23/2017,396,,1/30/2017,,,2/17/2017,421,7,2/24/2017,,2/24/2017,,4/3/2017,N54766,5300,5301,,20160211.Gb1,20170223,,,,1,,1,,,
APOE4,,,13666,m,12/24/2015,1,170123-5:0,1/23/2017,396,387.8333333,1/30/2017,,,2/17/2017,421,7,2/24/2017,,2/24/2017,,4/6/2017,N54770,5305,5306,,20160211.Gb1,20170223,,,,1,,,,,
c57,,3,13766,f,12/20/2015,1,170123-1:0,1/23/2017,400,,1/30/2017,,,2/21/2017,429,6,2/27/2017,,2/28/2017,,"3/20/17, 3/21/17, 3/25/17 ",N54760/N54754/N54755,5285,5286,,20160211.Gb1,20170223,,,,1,,,,,
c57,,,13767,f,12/20/2015,1,170123-2:0,1/23/2017,400,,1/30/2017,,,2/21/2017,429,6,2/27/2017,,2/28/2017,,"3/22/17, 3/23/17, 3/24/17",N54757/N54759,5290,5291,,20160211.Gb1,20170223,,,,1,,,,,
c57,,,13768,f,12/20/2015,1,170123-3:0,1/23/2017,400,,1/30/2017,,,2/21/2017,429,6,2/27/2017,,2/28/2017,,3/31/2017,N54765,5295,5296,,20160211.Gb1,20170223,,,,1,,,,,
c57,882643,4,1,m,2/5/2016,2,170206-9:0,2/6/2017,367,,2/13/2017,,,4/7/2017,427,6,4/13/2017,,4/14/2017,,5/12/2017,N54818,5350,5351,,20160211.GY1,20170413,,,,1,,,,,
